,Admin,State,Lat,Longt,Population,Date,Deaths
95,Unassigned,Alaska,0.0,0.0,0,2020-09-23,0
96,Valdez-Cordova,Alaska,61.47502768,-144.7126799,9202,2020-09-23,0
97,Wrangell,Alaska,56.3202004,-132.05837309999998,2502,2020-09-23,0
98,Yakutat,Alaska,59.890980799999994,-140.36014509999998,579,2020-09-23,0
99,Yukon-Koyukuk,Alaska,65.50815459,-151.39073869999999,5230,2020-09-23,1
100,,American Samoa,-14.270999999999999,-170.132,55641,2020-09-23,0
101,Apache,Arizona,35.39465006,-109.4892383,71887,2020-09-23,164
102,Cochise,Arizona,31.87934684,-109.7516088,125922,2020-09-23,71
103,Coconino,Arizona,35.83883429,-111.77071780000001,143476,2020-09-23,133
104,Gila,Arizona,33.80190085,-110.8132779,54018,2020-09-23,51
105,Graham,Arizona,32.93166885,-109.8882178,38837,2020-09-23,24
106,Greenlee,Arizona,33.21498827,-109.2405279,9498,2020-09-23,2
107,La Paz,Arizona,33.72854224,-113.98100290000001,21108,2020-09-23,15
108,Maricopa,Arizona,33.34835867,-112.49181540000001,4485414,2020-09-23,3304
109,Mohave,Arizona,35.70471703,-113.7577902,212181,2020-09-23,223
110,Navajo,Arizona,35.3997715,-110.3218983,110924,2020-09-23,233
111,Out of AZ,Arizona,0.0,0.0,0,2020-09-23,0
112,Pima,Arizona,32.0971334,-111.7890033,1047279,2020-09-23,613
113,Pinal,Arizona,32.90525627,-111.3449483,462789,2020-09-23,206
114,Santa Cruz,Arizona,31.52508998,-110.8479088,46498,2020-09-23,63
115,Unassigned,Arizona,0.0,0.0,0,2020-09-23,0
116,Yavapai,Arizona,34.59933926,-112.5538588,235099,2020-09-23,79
117,Yuma,Arizona,32.76895712,-113.90666740000002,213787,2020-09-23,344
118,Arkansas,Arkansas,34.29145151,-91.37277296,17486,2020-09-23,5
119,Ashley,Arkansas,33.19153461,-91.76984709999999,19657,2020-09-23,9
120,Baxter,Arkansas,36.28784385,-92.33782872,41932,2020-09-23,2
121,Benton,Arkansas,36.33644656,-94.25680817,279141,2020-09-23,82
122,Boone,Arkansas,36.3084504,-93.09374925,37432,2020-09-23,10
123,Bradley,Arkansas,33.46755808,-92.15980837,10763,2020-09-23,8
124,Calhoun,Arkansas,33.55598792,-92.49974403,5189,2020-09-23,0
125,Carroll,Arkansas,36.340385600000005,-93.54270261,28380,2020-09-23,9
126,Chicot,Arkansas,33.26458973,-91.29539209,10118,2020-09-23,19
127,Clark,Arkansas,34.04613432,-93.17484713,22320,2020-09-23,4
128,Clay,Arkansas,36.36826212,-90.4148172,14551,2020-09-23,7
129,Cleburne,Arkansas,35.53864922,-92.02640019,24919,2020-09-23,8
130,Cleveland,Arkansas,33.89723187,-92.18537045,7956,2020-09-23,10
131,Columbia,Arkansas,33.21230701,-93.22642793,23457,2020-09-23,18
132,Conway,Arkansas,35.26205537,-92.70506566,20846,2020-09-23,3
133,Craighead,Arkansas,35.83018283,-90.63235729,110332,2020-09-23,21
134,Crawford,Arkansas,35.58928601,-94.2446814,63257,2020-09-23,15
135,Crittenden,Arkansas,35.21247318,-90.30839406,47955,2020-09-23,45
136,Cross,Arkansas,35.29631396,-90.77185818,16419,2020-09-23,8
137,Dallas,Arkansas,33.97042763,-92.65167437,7009,2020-09-23,3
138,Desha,Arkansas,33.83011025,-91.25500948,11361,2020-09-23,5
139,Drew,Arkansas,33.59035001,-91.71777921,18219,2020-09-23,6
140,Faulkner,Arkansas,35.14719007,-92.33717519,126007,2020-09-23,19
141,Franklin,Arkansas,35.51202821,-93.89299569,17715,2020-09-23,2
142,Fulton,Arkansas,36.38177105,-91.81729127,12477,2020-09-23,3
143,Garland,Arkansas,34.57692074,-93.14921604,99386,2020-09-23,49
144,Grant,Arkansas,34.29017991,-92.42320562,18265,2020-09-23,2
145,Greene,Arkansas,36.117354600000006,-90.55832668,45325,2020-09-23,8
146,Hempstead,Arkansas,33.73325583,-93.66935133,21532,2020-09-23,4
147,Hot Spring,Arkansas,34.31709259,-92.95396325,33771,2020-09-23,26
148,Howard,Arkansas,34.09007427,-93.9934871,13202,2020-09-23,8
149,Independence,Arkansas,35.74242707,-91.57001641,37825,2020-09-23,17
150,Izard,Arkansas,36.09604046,-91.90847954,13629,2020-09-23,0
151,Jackson,Arkansas,35.59802983,-91.21494602,16719,2020-09-23,1
152,Jefferson,Arkansas,34.26767081,-91.92619839,66824,2020-09-23,64
153,Johnson,Arkansas,35.56759135,-93.46036368,26578,2020-09-23,5
154,Lafayette,Arkansas,33.24116713,-93.60677071,6624,2020-09-23,2
155,Lawrence,Arkansas,36.04188196,-91.10867198,16406,2020-09-23,12
156,Lee,Arkansas,34.78498904,-90.78383866,8857,2020-09-23,18
157,Lincoln,Arkansas,33.95317155,-91.74002806,13024,2020-09-23,15
158,Little River,Arkansas,33.70375665,-94.23468591,12259,2020-09-23,25
159,Logan,Arkansas,35.21413234,-93.71951016,21466,2020-09-23,1
160,Lonoke,Arkansas,34.75392199,-91.88742357,73309,2020-09-23,11
161,Madison,Arkansas,36.01038185,-93.72524943,16576,2020-09-23,2
162,Marion,Arkansas,36.26844485,-92.68451899,16694,2020-09-23,0
163,Miller,Arkansas,33.31403423,-93.89285258,43257,2020-09-23,11
164,Mississippi,Arkansas,35.76271485,-90.05194370000001,40651,2020-09-23,50
165,Monroe,Arkansas,34.6815935,-91.20540287,6701,2020-09-23,0
166,Montgomery,Arkansas,34.53704874,-93.65824478,8986,2020-09-23,4
167,Nevada,Arkansas,33.66340119,-93.30632432,8252,2020-09-23,13
168,Newton,Arkansas,35.91947491,-93.21612969,7753,2020-09-23,18
169,Ouachita,Arkansas,33.58839816,-92.87795984,23382,2020-09-23,6
170,Out of AR,Arkansas,0.0,0.0,0,2020-09-23,0
171,Perry,Arkansas,34.945915299999996,-92.94372564,10455,2020-09-23,0
172,Phillips,Arkansas,34.43268455,-90.84800154,17782,2020-09-23,11
173,Pike,Arkansas,34.16250414,-93.65789349,10718,2020-09-23,3
174,Poinsett,Arkansas,35.57433534,-90.66268713,23528,2020-09-23,11
175,Polk,Arkansas,34.48254879,-94.22728802,19964,2020-09-23,4
176,Pope,Arkansas,35.44871474,-93.03212219,64072,2020-09-23,30
177,Prairie,Arkansas,34.83624419,-91.55162157,8062,2020-09-23,1
178,Pulaski,Arkansas,34.77054088,-92.31355101,391911,2020-09-23,143
179,Randolph,Arkansas,36.3415714,-91.02455531,17958,2020-09-23,22
180,Saline,Arkansas,34.64916145,-92.67583224,122437,2020-09-23,23
181,Scott,Arkansas,34.85588887,-94.0632176,10281,2020-09-23,1
182,Searcy,Arkansas,35.9109364,-92.69936482,7881,2020-09-23,1
183,Sebastian,Arkansas,35.19605503,-94.27162713,127827,2020-09-23,58
184,Sevier,Arkansas,33.99780401,-94.2424869,17007,2020-09-23,16
185,Sharp,Arkansas,36.16258158,-91.47819342,17442,2020-09-23,6
186,St. Francis,Arkansas,35.02201976,-90.74828138,24994,2020-09-23,6
187,Stone,Arkansas,35.86251946,-92.15684085,12506,2020-09-23,7
188,Unassigned,Arkansas,0.0,0.0,0,2020-09-23,0
189,Union,Arkansas,33.16887091,-92.59746952,38682,2020-09-23,32
190,Van Buren,Arkansas,35.58095779,-92.51295036,16545,2020-09-23,2
191,Washington,Arkansas,35.976844,-94.21800746,239187,2020-09-23,109
192,White,Arkansas,35.25688493,-91.74908296,78753,2020-09-23,21
193,Woodruff,Arkansas,35.18902527,-91.2439489,6320,2020-09-23,0
194,Yell,Arkansas,35.00292371,-93.41171338,21341,2020-09-23,29
195,Alameda,California,37.64629437,-121.8929271,1671329,2020-09-23,395
196,Alpine,California,38.59678594,-119.82235940000001,1129,2020-09-23,0
197,Amador,California,38.44583082,-120.65696000000001,39752,2020-09-23,16
198,Butte,California,39.66727762,-121.6005252,219186,2020-09-23,40
199,Calaveras,California,38.20537103,-120.55291299999999,45905,2020-09-23,14
200,Colusa,California,39.17881957,-122.2331726,21547,2020-09-23,6
201,Contra Costa,California,37.91923498,-121.9289527,1153526,2020-09-23,202
202,Del Norte,California,41.74228275,-123.89740630000001,27812,2020-09-23,1
203,El Dorado,California,38.77965956,-120.5233166,192843,2020-09-23,4
204,Fresno,California,36.75733899,-119.6466953,999101,2020-09-23,362
205,Glenn,California,39.59875897,-122.3938452,28393,2020-09-23,3
206,Humboldt,California,40.69923009,-123.876044,135558,2020-09-23,6
207,Imperial,California,33.0393082,-115.36690420000001,181215,2020-09-23,317
208,Inyo,California,36.51112084,-117.41119779999998,18039,2020-09-23,14
209,Kern,California,35.34329425,-118.72777959999999,900202,2020-09-23,357
210,Kings,California,36.07409056,-119.8159973,152940,2020-09-23,77
211,Lake,California,39.10124298,-122.75362439999999,64386,2020-09-23,11
212,Lassen,California,40.67311306,-120.59350990000002,30573,2020-09-23,0
213,Los Angeles,California,34.30828379,-118.22824109999999,10039107,2020-09-23,6423
214,Madera,California,37.21513971,-119.76655890000002,157327,2020-09-23,65
215,Marin,California,38.07122463,-122.72106310000001,258826,2020-09-23,114
216,Mariposa,California,37.57978556,-119.9073334,17203,2020-09-23,2
217,Mendocino,California,39.4381191,-123.39113130000001,86749,2020-09-23,18
218,Merced,California,37.18922369,-120.72090349999999,277680,2020-09-23,140
219,Modoc,California,41.58965602,-120.7244817,8841,2020-09-23,0
220,Mono,California,37.93899289,-118.8872409,14444,2020-09-23,2
221,Monterey,California,36.21862405,-121.24133970000001,434061,2020-09-23,70
222,Napa,California,38.50735751,-122.33283899999999,137744,2020-09-23,13
223,Nevada,California,39.30394768,-120.76272809999999,99755,2020-09-23,6
224,Orange,California,33.70147516,-117.76459979999998,3175692,2020-09-23,1176
225,Out of CA,California,0.0,0.0,0,2020-09-23,0
226,Placer,California,39.06167234,-120.72405690000001,398329,2020-09-23,43
227,Plumas,California,40.00355989,-120.8395236,18807,2020-09-23,0
228,Riverside,California,33.74314981,-115.9933578,2470546,2020-09-23,1173
229,Sacramento,California,38.45106826,-121.34253740000001,1552058,2020-09-23,393
230,San Benito,California,36.60308176,-121.069975,62808,2020-09-23,11
231,San Bernardino,California,34.84060306,-116.1774685,2180085,2020-09-23,908
232,San Diego,California,33.03484597,-116.73653259999999,3338330,2020-09-23,767
233,San Francisco,California,37.75215114,-122.43856720000001,881549,2020-09-23,99
234,San Joaquin,California,37.93433732,-121.2730061,762148,2020-09-23,434
235,San Luis Obispo,California,35.38822029,-120.4039028,283111,2020-09-23,27
236,San Mateo,California,37.422880799999994,-122.32755459999998,766573,2020-09-23,144
237,Santa Barbara,California,34.65329488,-120.0188492,446499,2020-09-23,111
238,Santa Clara,California,37.23104908,-121.6970462,1927852,2020-09-23,300
239,Santa Cruz,California,37.05580291,-122.0066524,273213,2020-09-23,8
240,Shasta,California,40.76391419,-122.0396884,180080,2020-09-23,14
241,Sierra,California,39.57713498,-120.52007009999998,3005,2020-09-23,0
242,Siskiyou,California,41.59198861,-122.54074340000001,43539,2020-09-23,0
243,Solano,California,38.26827353,-121.9357113,447643,2020-09-23,60
244,Sonoma,California,38.52746429,-122.88625060000001,494336,2020-09-23,120
245,Stanislaus,California,37.55862499,-120.9970722,550660,2020-09-23,342
246,Sutter,California,39.03417539,-121.6945899,96971,2020-09-23,10
247,Tehama,California,40.12570935,-122.23701709999999,65084,2020-09-23,4
248,Trinity,California,40.649176700000005,-123.114713,12285,2020-09-23,0
249,Tulare,California,36.22026558,-118.8020203,466195,2020-09-23,257
250,Tuolumne,California,38.02644018,-119.95250929999999,54478,2020-09-23,4
251,Unassigned,California,0.0,0.0,0,2020-09-23,0
252,Ventura,California,34.44465746,-119.09106129999999,846006,2020-09-23,146
253,Yolo,California,38.68278902,-121.90182879999999,220500,2020-09-23,55
254,Yuba,California,39.26255932,-121.35356440000001,78668,2020-09-23,7
255,Adams,Colorado,39.87432092,-104.3362578,517421,2020-09-23,222
256,Alamosa,Colorado,37.57250606,-105.7885451,16233,2020-09-23,9
257,Arapahoe,Colorado,39.64977461,-104.3353617,656590,2020-09-23,370
258,Archuleta,Colorado,37.19474156,-107.04768670000001,14029,2020-09-23,0
259,Baca,Colorado,37.31940883,-102.5603223,3581,2020-09-23,0
260,Bent,Colorado,37.95474293,-103.0720195,5577,2020-09-23,0
261,Boulder,Colorado,40.09313619,-105.3546767,326196,2020-09-23,79
262,Broomfield,Colorado,39.95998787,-105.0566324,70465,2020-09-23,33
263,Chaffee,Colorado,38.74745778,-106.19265729999998,20356,2020-09-23,19
264,Cheyenne,Colorado,38.82777431,-102.6032558,1831,2020-09-23,0
265,Clear Creek,Colorado,39.68864463,-105.6463118,9700,2020-09-23,1
266,Conejos,Colorado,37.201606,-106.19174879999998,8205,2020-09-23,0
267,Costilla,Colorado,37.27732493,-105.4276548,3887,2020-09-23,1
268,Crowley,Colorado,38.32608609,-103.7844965,6061,2020-09-23,1
269,Custer,Colorado,38.10883162,-105.3683478,5068,2020-09-23,0
270,Delta,Colorado,38.86246243,-107.86313419999999,31162,2020-09-23,3
271,Denver,Colorado,39.76018276,-104.87256950000001,727211,2020-09-23,434
272,Dolores,Colorado,37.75208676,-108.5211585,2055,2020-09-23,0
273,Douglas,Colorado,39.33133796,-104.930001,351154,2020-09-23,60
274,Eagle,Colorado,39.62754308,-106.6933637,55127,2020-09-23,10
275,El Paso,Colorado,38.83240149,-104.5251411,720403,2020-09-23,170
276,Elbert,Colorado,39.28656773,-104.13587209999999,26729,2020-09-23,3
277,Fremont,Colorado,38.47362326,-105.43996670000001,47839,2020-09-23,1
278,Garfield,Colorado,39.59921777,-107.902708,60061,2020-09-23,5
279,Gilpin,Colorado,39.85646523,-105.5252597,6243,2020-09-23,0
280,Grand,Colorado,40.10603347,-106.11780420000001,15734,2020-09-23,1
281,Gunnison,Colorado,38.66611652,-107.0320729,17462,2020-09-23,7
282,Hinsdale,Colorado,37.82247444,-107.3004345,820,2020-09-23,0
283,Huerfano,Colorado,37.68473101,-104.9612585,6897,2020-09-23,1
284,Jackson,Colorado,40.665938700000005,-106.3408905,1392,2020-09-23,0
285,Jefferson,Colorado,39.58635604,-105.2517692,582881,2020-09-23,248
286,Kiowa,Colorado,38.43260896,-102.7392145,1406,2020-09-23,0
287,Kit Carson,Colorado,39.30497777,-102.60221990000001,7097,2020-09-23,3
288,La Plata,Colorado,37.28632032,-107.8429014,56221,2020-09-23,2
289,Lake,Colorado,39.20278823,-106.35556969999999,8127,2020-09-23,0
290,Larimer,Colorado,40.66671597,-105.4625784,356899,2020-09-23,50
291,Las Animas,Colorado,37.3153406,-104.03764579999999,14506,2020-09-23,0
292,Lincoln,Colorado,38.98749519,-103.51366490000001,5701,2020-09-23,0
293,Logan,Colorado,40.7249637,-103.110817,22409,2020-09-23,5
294,Mesa,Colorado,39.01787888,-108.469799,154210,2020-09-23,7
295,Mineral,Colorado,37.66954283,-106.92816979999999,769,2020-09-23,0
296,Moffat,Colorado,40.61810999,-108.2070876,13283,2020-09-23,1
297,Montezuma,Colorado,37.33859579,-108.59588570000001,26183,2020-09-23,5
298,Montrose,Colorado,38.40214114,-108.26390220000002,42758,2020-09-23,13
299,Morgan,Colorado,40.262798100000005,-103.8093302,29068,2020-09-23,48
300,Otero,Colorado,37.9014485,-103.7173385,18278,2020-09-23,6
301,Ouray,Colorado,38.14717457,-107.7675136,4952,2020-09-23,1
302,Out of CO,Colorado,0.0,0.0,0,2020-09-23,0
303,Park,Colorado,39.120926000000004,-105.7182065,18845,2020-09-23,1
304,Phillips,Colorado,40.59414277,-102.3577703,4265,2020-09-23,0
305,Pitkin,Colorado,39.21720112,-106.9310027,17767,2020-09-23,2
306,Prowers,Colorado,37.95544985,-102.3926052,12172,2020-09-23,0
307,Pueblo,Colorado,38.17359144,-104.5127437,168424,2020-09-23,37
308,Rio Blanco,Colorado,39.97913541,-108.2179009,6324,2020-09-23,0
309,Rio Grande,Colorado,37.5836865,-106.3847838,11267,2020-09-23,2
310,Routt,Colorado,40.48596505,-106.9905548,25638,2020-09-23,8
311,Saguache,Colorado,38.08054629,-106.28246599999999,6824,2020-09-23,2
312,San Juan,Colorado,37.76248981,-107.67632890000002,728,2020-09-23,0
313,San Miguel,Colorado,38.00450883,-108.4020725,8179,2020-09-23,0
314,Sedgwick,Colorado,40.87595412,-102.3519227,2248,2020-09-23,1
315,Summit,Colorado,39.63803232,-106.1150762,31011,2020-09-23,4
316,Teller,Colorado,38.88133511,-105.16148929999999,25388,2020-09-23,4
317,Unassigned,Colorado,0.0,0.0,0,2020-09-23,0
318,Washington,Colorado,39.97015535,-103.202587,4908,2020-09-23,0
319,Weld,Colorado,40.55499405,-104.39296209999999,324492,2020-09-23,149
320,Yuma,Colorado,40.00346839,-102.4258673,10019,2020-09-23,1
321,Fairfield,Connecticut,41.26809896,-73.3881171,943332,2020-09-23,1421
322,Hartford,Connecticut,41.80283011,-72.73103891,891720,2020-09-23,1434
323,Litchfield,Connecticut,41.7937534,-73.2451475,180333,2020-09-23,140
324,Middlesex,Connecticut,41.45949668,-72.53714864,162436,2020-09-23,193
325,New Haven,Connecticut,41.408032500000004,-72.93620426,854757,2020-09-23,1114
326,New London,Connecticut,41.48896435,-72.10430976,265206,2020-09-23,114
327,Out of CT,Connecticut,0.0,0.0,0,2020-09-23,0
328,Tolland,Connecticut,41.85853803,-72.3308481,150721,2020-09-23,66
329,Unassigned,Connecticut,0.0,0.0,0,2020-09-23,0
330,Windham,Connecticut,41.82972709,-71.98182316,116782,2020-09-23,15
331,Kent,Delaware,39.08646628,-75.56884914,180786,2020-09-23,115
332,New Castle,Delaware,39.57992638,-75.64054974,558753,2020-09-23,310
333,Out of DE,Delaware,0.0,0.0,0,2020-09-23,0
334,Sussex,Delaware,38.66143781,-75.39031349,234225,2020-09-23,204
335,Unassigned,Delaware,0.0,0.0,0,2020-09-23,0
336,,Diamond Princess,0.0,0.0,0,2020-09-23,0
337,District of Columbia,District of Columbia,38.90417773,-77.01655992,705749,2020-09-23,621
338,Out of DC,District of Columbia,0.0,0.0,0,2020-09-23,0
339,Unassigned,District of Columbia,0.0,0.0,0,2020-09-23,0
340,Alachua,Florida,29.67866525,-82.35928158,269043,2020-09-23,49
341,Baker,Florida,30.33060121,-82.28467476,29210,2020-09-23,11
342,Bay,Florida,30.26548745,-85.62122584,174705,2020-09-23,101
343,Bradford,Florida,29.95079741,-82.16611613,28201,2020-09-23,8
344,Brevard,Florida,28.29409504,-80.73091022,601942,2020-09-23,284
345,Broward,Florida,26.15184651,-80.48725556,1952778,2020-09-23,1343
346,Calhoun,Florida,30.40666734,-85.19394153,14105,2020-09-23,10
347,Charlotte,Florida,26.90131002,-81.92949121,188910,2020-09-23,131
348,Citrus,Florida,28.84804315,-82.47614748,149657,2020-09-23,92
349,Clay,Florida,29.98319144,-81.85609986,219252,2020-09-23,95
350,Collier,Florida,26.11091986,-81.34687065,384902,2020-09-23,208
351,Columbia,Florida,30.22509788,-82.62160164,71686,2020-09-23,54
352,DeSoto,Florida,27.18677893,-81.80941373,38001,2020-09-23,24
353,Dixie,Florida,29.60631086,-83.15724673,16826,2020-09-23,7
354,Duval,Florida,30.33225875,-81.66976468,957755,2020-09-23,362
355,Escambia,Florida,30.67652764,-87.37284571,318316,2020-09-23,222
356,Flagler,Florida,29.45933576,-81.31508595,115081,2020-09-23,23
357,Franklin,Florida,29.83791238,-84.82731662,12125,2020-09-23,3
358,Gadsden,Florida,30.57796289,-84.61915825,45660,2020-09-23,45
359,Gilchrist,Florida,29.72856978,-82.79880657,18582,2020-09-23,12
360,Glades,Florida,26.95635849,-81.18996211,13811,2020-09-23,4
361,Gulf,Florida,29.93543004,-85.24270990000001,13639,2020-09-23,14
362,Hamilton,Florida,30.49673973,-82.94998918,14428,2020-09-23,8
363,Hardee,Florida,27.49293939,-81.80956574,26937,2020-09-23,11
364,Hendry,Florida,26.55386945,-81.16469006,42022,2020-09-23,42
365,Hernando,Florida,28.55364461,-82.42700204,193920,2020-09-23,115
366,Highlands,Florida,27.34254618,-81.34071957,106221,2020-09-23,82
367,Hillsborough,Florida,27.9276559,-82.32013172,1471968,2020-09-23,614
368,Holmes,Florida,30.86747479,-85.81319222,19617,2020-09-23,6
369,Indian River,Florida,27.69308961,-80.60556721,159923,2020-09-23,115
370,Jackson,Florida,30.795459700000002,-85.21500423,46414,2020-09-23,77
371,Jefferson,Florida,30.43669112,-83.89442308,14246,2020-09-23,8
372,Lafayette,Florida,29.98484137,-83.18166636,8422,2020-09-23,12
373,Lake,Florida,28.76202069,-81.7125123,367118,2020-09-23,173
