,index,Confirmed,Deaths,clusters,cluster
102,102,1886,71,0,pink
103,103,3819,133,0,pink
104,104,1245,51,0,pink
105,105,808,24,0,pink
106,106,59,2,0,pink
107,107,536,15,0,pink
108,108,140409,3304,1,purple
109,109,3930,223,0,pink
110,110,5763,233,0,pink
111,111,0,0,0,pink
112,112,25004,613,2,dark purple
113,113,10422,206,0,pink
114,114,2823,63,0,pink
115,115,0,0,0,pink
116,116,2495,79,0,pink
117,117,12609,344,0,pink
118,118,371,5,0,pink
119,119,428,9,0,pink
120,120,302,2,0,pink
121,121,6399,82,0,pink
122,122,664,10,0,pink
123,123,340,8,0,pink
124,124,34,0,0,pink
125,125,630,9,0,pink
126,126,1001,19,0,pink
127,127,322,4,0,pink
128,128,277,7,0,pink
129,129,315,8,0,pink
130,130,179,10,0,pink
131,131,399,18,0,pink
132,132,255,3,0,pink
133,133,2759,21,0,pink
134,134,1303,15,0,pink
135,135,1903,45,0,pink
136,136,422,8,0,pink
137,137,158,3,0,pink
138,138,284,5,0,pink
139,139,350,6,0,pink
140,140,2363,19,0,pink
141,141,261,2,0,pink
142,142,134,3,0,pink
143,143,1798,49,0,pink
144,144,252,2,0,pink
145,145,823,8,0,pink
146,146,359,4,0,pink
147,147,1863,26,0,pink
148,148,463,8,0,pink
149,149,1051,17,0,pink
150,150,202,0,0,pink
151,151,302,1,0,pink
152,152,2999,64,0,pink
153,153,829,5,0,pink
154,154,98,2,0,pink
155,155,391,12,0,pink
156,156,1052,18,0,pink
157,157,1943,15,0,pink
158,158,352,25,0,pink
159,159,398,1,0,pink
160,160,1102,11,0,pink
161,161,337,2,0,pink
162,162,83,0,0,pink
163,163,797,11,0,pink
164,164,1636,50,0,pink
165,165,121,0,0,pink
166,166,139,4,0,pink
167,167,214,13,0,pink
168,168,226,18,0,pink
169,169,252,6,0,pink
170,170,0,0,0,pink
171,171,85,0,0,pink
172,172,470,11,0,pink
173,173,223,3,0,pink
174,174,632,11,0,pink
175,175,253,4,0,pink
176,176,2054,30,0,pink
177,177,142,1,0,pink
178,178,8881,143,0,pink
179,179,395,22,0,pink
180,180,2007,23,0,pink
181,181,97,1,0,pink
182,182,141,1,0,pink
183,183,3543,58,0,pink
184,184,1196,16,0,pink
185,185,208,6,0,pink
186,186,1491,6,0,pink
187,187,322,7,0,pink
188,188,1624,0,0,pink
189,189,858,32,0,pink
190,190,172,2,0,pink
191,191,9178,109,0,pink
192,192,768,21,0,pink
193,193,48,0,0,pink
194,194,1240,29,0,pink
195,195,20839,395,2,dark purple
196,196,2,0,0,pink
197,197,287,16,0,pink
198,198,2776,40,0,pink
199,199,314,14,0,pink
200,200,522,6,0,pink
201,201,16156,202,2,dark purple
202,202,138,1,0,pink
203,203,1078,4,0,pink
204,204,27944,362,2,dark purple
205,205,568,3,0,pink
206,206,490,6,0,pink
207,207,11658,317,0,pink
208,208,187,14,0,pink
209,209,31647,357,2,dark purple
210,210,7544,77,0,pink
211,211,516,11,0,pink
212,212,736,0,0,pink
213,213,263333,6423,1,purple
214,214,4424,65,0,pink
215,215,6620,114,0,pink
216,216,75,2,0,pink
217,217,887,18,0,pink
218,218,8803,140,0,pink
219,219,25,0,0,pink
220,220,165,2,0,pink
221,221,9645,70,0,pink
222,222,1652,13,0,pink
223,223,525,6,0,pink
224,224,52538,1176,2,dark purple
225,225,0,0,0,pink
226,226,3523,43,0,pink
227,227,50,0,0,pink
228,228,57695,1173,2,dark purple
229,229,21800,393,2,dark purple
230,230,1314,11,0,pink
231,231,53121,908,2,dark purple
232,232,45425,767,2,dark purple
233,233,10901,99,0,pink
234,234,20060,434,2,dark purple
235,235,3453,27,0,pink
236,236,9664,144,0,pink
237,237,8952,111,0,pink
238,238,20648,300,2,dark purple
239,239,2283,8,0,pink
240,240,751,14,0,pink
241,241,6,0,0,pink
242,242,163,0,0,pink
243,243,6232,60,0,pink
244,244,7225,120,0,pink
245,245,16425,342,2,dark purple
246,246,1686,10,0,pink
247,247,529,4,0,pink
248,248,15,0,0,pink
249,249,15782,257,2,dark purple
250,250,226,4,0,pink
251,251,0,0,0,pink
252,252,12507,146,0,pink
253,253,2773,55,0,pink
254,254,1133,7,0,pink
255,255,8684,222,0,pink
256,256,242,9,0,pink
257,257,8999,370,0,pink
258,258,55,0,0,pink
259,259,17,0,0,pink
260,260,11,0,0,pink
261,261,3990,79,0,pink
262,262,616,33,0,pink
263,263,325,19,0,pink
264,264,13,0,0,pink
265,265,37,1,0,pink
266,266,31,0,0,pink
267,267,32,1,0,pink
268,268,73,1,0,pink
269,269,17,0,0,pink
270,270,187,3,0,pink
271,271,12689,434,0,pink
272,272,3,0,0,pink
273,273,2458,60,0,pink
274,274,1244,10,0,pink
275,275,6743,170,0,pink
276,276,152,3,0,pink
277,277,170,1,0,pink
278,278,936,5,0,pink
279,279,18,0,0,pink
280,280,71,1,0,pink
281,281,296,7,0,pink
282,282,3,0,0,pink
283,283,19,1,0,pink
284,284,9,0,0,pink
285,285,5500,248,0,pink
286,286,0,0,0,pink
287,287,79,3,0,pink
288,288,255,2,0,pink
289,289,91,0,0,pink
290,290,2424,50,0,pink
291,291,21,0,0,pink
292,292,9,0,0,pink
293,293,850,5,0,pink
294,294,551,7,0,pink
295,295,20,0,0,pink
296,296,40,1,0,pink
297,297,131,5,0,pink
298,298,373,13,0,pink
299,299,736,48,0,pink
300,300,92,6,0,pink
301,301,25,1,0,pink
302,302,0,0,0,pink
303,303,55,1,0,pink
304,304,34,0,0,pink
305,305,221,2,0,pink
306,306,94,0,0,pink
307,307,1052,37,0,pink
308,308,25,0,0,pink
309,309,96,2,0,pink
310,310,148,8,0,pink
311,311,111,2,0,pink
312,312,6,0,0,pink
313,313,96,0,0,pink
314,314,14,1,0,pink
315,315,428,4,0,pink
316,316,174,4,0,pink
317,317,0,0,0,pink
318,318,60,0,0,pink
319,319,4597,149,0,pink
320,320,101,1,0,pink
321,321,19949,1421,2,dark purple
322,322,14456,1434,2,dark purple
323,323,1849,140,0,pink
324,324,1560,193,0,pink
325,325,14294,1114,0,pink
326,326,1803,114,0,pink
327,327,0,0,0,pink
328,328,1328,66,0,pink
329,329,135,0,0,pink
330,330,941,15,0,pink
331,331,2898,115,0,pink
332,332,9777,310,0,pink
333,333,0,0,0,pink
334,334,6673,204,0,pink
335,335,482,0,0,pink
336,336,49,0,0,pink
337,337,15050,621,2,dark purple
338,338,0,0,0,pink
339,339,0,0,0,pink
340,340,7735,49,0,pink
341,341,1426,11,0,pink
342,342,5924,101,0,pink
343,343,1054,8,0,pink
344,344,8578,284,0,pink
345,345,76146,1343,2,dark purple
346,346,608,10,0,pink
347,347,2978,131,0,pink
348,348,2684,92,0,pink
349,349,4895,95,0,pink
350,350,12565,208,0,pink
351,351,3690,54,0,pink
352,352,1551,24,0,pink
353,353,828,7,0,pink
354,354,29717,362,2,dark purple
355,355,12103,222,0,pink
356,356,1687,23,0,pink
357,357,604,3,0,pink
358,358,2739,45,0,pink
359,359,505,12,0,pink
360,360,513,4,0,pink
361,361,871,14,0,pink
362,362,840,8,0,pink
363,363,1313,11,0,pink
364,364,2051,42,0,pink
365,365,3064,115,0,pink
366,366,2111,82,0,pink
367,367,41178,614,2,dark purple
368,368,735,6,0,pink
369,369,3129,115,0,pink
370,370,2768,77,0,pink
371,371,550,8,0,pink
372,372,1232,12,0,pink
373,373,7365,173,0,pink
374,374,20124,462,2,dark purple
375,375,10204,63,0,pink
376,376,1012,9,0,pink
377,377,497,8,0,pink
378,378,1009,18,0,pink
379,379,11327,282,0,pink
380,380,9541,263,0,pink
381,381,4807,138,0,pink
382,382,167880,3127,1,purple
383,383,1813,22,0,pink
384,384,2053,41,0,pink
385,385,4802,107,0,pink
386,386,1501,24,0,pink
387,387,39412,438,2,dark purple
388,388,12249,140,0,pink
389,389,0,0,0,pink
390,390,45743,1308,2,dark purple
391,391,8988,205,0,pink
392,392,21701,736,2,dark purple
393,393,19452,514,2,dark purple
394,394,2088,38,0,pink
395,395,5236,74,0,pink
396,396,7948,251,0,pink
397,397,8911,207,0,pink
398,398,5167,69,0,pink
399,399,7875,271,0,pink
400,400,2196,65,0,pink
401,401,2657,66,0,pink
402,402,1307,12,0,pink
403,403,1623,0,0,pink
404,404,903,12,0,pink
405,405,10651,232,0,pink
406,406,1106,9,0,pink
407,407,1915,24,0,pink
408,408,1064,18,0,pink
409,409,1015,26,0,pink
410,410,438,3,0,pink
411,411,596,13,0,pink
412,412,79,4,0,pink
413,413,2078,56,0,pink
414,414,473,7,0,pink
415,415,2124,46,0,pink
416,416,2835,84,0,pink
417,417,751,21,0,pink
418,418,442,12,0,pink
419,419,5995,159,0,pink
420,420,426,19,0,pink
421,421,343,10,0,pink
422,422,515,27,0,pink
423,423,1126,11,0,pink
424,424,2836,27,0,pink
425,425,781,10,0,pink
426,426,631,42,0,pink
427,427,236,8,0,pink
428,428,1250,8,0,pink
429,429,444,18,0,pink
430,430,2682,64,0,pink
431,431,1139,18,0,pink
432,432,622,6,0,pink
433,433,8277,149,0,pink
434,434,1628,1,0,pink
435,435,739,17,0,pink
436,436,5868,91,0,pink
437,437,4939,42,0,pink
438,438,120,2,0,pink
439,439,7086,159,0,pink
440,440,370,6,0,pink
441,441,19283,422,2,dark purple
442,442,2009,43,0,pink
443,443,1877,33,0,pink
444,444,3661,59,0,pink
445,445,544,13,0,pink
446,446,2546,43,0,pink
447,447,166,5,0,pink
448,448,539,17,0,pink
449,449,278,5,0,pink
450,450,797,7,0,pink
451,451,18302,353,2,dark purple
452,452,1122,29,0,pink
453,453,415,12,0,pink
454,454,334,14,0,pink
455,455,3128,185,0,pink
456,456,3485,71,0,pink
457,457,477,32,0,pink
458,458,239,2,0,pink
459,459,1403,23,0,pink
460,460,624,3,0,pink
461,461,1015,30,0,pink
462,462,419,6,0,pink
463,463,618,20,0,pink
464,464,1763,49,0,pink
465,465,3069,44,0,pink
466,466,3832,45,0,pink
467,467,735,11,0,pink
468,468,27247,568,2,dark purple
469,469,801,11,0,pink
470,470,38,2,0,pink
471,471,3428,94,0,pink
472,472,1812,36,0,pink
473,473,754,22,0,pink
474,474,498,23,0,pink
475,475,26931,398,2,dark purple
476,476,1585,67,0,pink
477,477,8949,148,0,pink
478,478,387,42,0,pink
479,479,454,8,0,pink
480,480,782,21,0,pink
481,481,492,13,0,pink
482,482,189,5,0,pink
483,483,5073,100,0,pink
484,484,3083,80,0,pink
485,485,288,4,0,pink
486,486,1914,31,0,pink
487,487,211,4,0,pink
488,488,708,19,0,pink
489,489,777,25,0,pink
490,490,403,29,0,pink
491,491,414,22,0,pink
492,492,538,8,0,pink
493,493,354,18,0,pink
494,494,296,5,0,pink
495,495,1609,64,0,pink
496,496,690,25,0,pink
497,497,1091,22,0,pink
498,498,213,7,0,pink
499,499,235,3,0,pink
500,500,3848,78,0,pink
501,501,894,14,0,pink
502,502,228,10,0,pink
503,503,678,8,0,pink
504,504,189,8,0,pink
505,505,582,14,0,pink
506,506,286,7,0,pink
507,507,537,13,0,pink
508,508,246,1,0,pink
509,509,780,45,0,pink
510,510,666,50,0,pink
511,511,293,5,0,pink
512,512,476,2,0,pink
513,513,804,5,0,pink
514,514,5920,167,0,pink
515,515,2552,85,0,pink
516,516,725,26,0,pink
517,517,324,11,0,pink
518,518,17364,149,2,dark purple
519,519,2739,50,0,pink
520,520,662,23,0,pink
521,521,611,10,0,pink
522,522,595,17,0,pink
523,523,316,9,0,pink
524,524,1429,17,0,pink
525,525,311,22,0,pink
526,526,678,23,0,pink
527,527,32,1,0,pink
528,528,327,9,0,pink
529,529,331,28,0,pink
530,530,6956,159,0,pink
531,531,1828,36,0,pink
532,532,104,2,0,pink
533,533,400,10,0,pink
534,534,347,9,0,pink
535,535,1305,59,0,pink
536,536,1030,36,0,pink
537,537,478,14,0,pink
538,538,927,62,0,pink
539,539,162,5,0,pink
540,540,21,0,0,pink
541,541,804,10,0,pink
542,542,207,10,0,pink
543,543,383,18,0,pink
544,544,327,31,0,pink
545,545,1468,62,0,pink
546,546,1735,56,0,pink
547,547,1284,44,0,pink
548,548,319,9,0,pink
549,549,250,8,0,pink
550,550,2776,95,0,pink
551,551,294,22,0,pink
552,552,186,7,0,pink
553,553,2263,6,0,pink
554,554,701,18,0,pink
555,555,764,61,0,pink
556,556,1496,31,0,pink
557,557,1758,53,0,pink
558,558,1475,56,0,pink
559,559,140,5,0,pink
560,560,657,8,0,pink
561,561,1100,28,0,pink
562,562,43,2,0,pink
563,563,326,11,0,pink
564,564,761,19,0,pink
565,565,4491,61,0,pink
566,566,247,20,0,pink
567,567,261,5,0,pink
568,568,333,18,0,pink
569,569,523,30,0,pink
570,570,103,3,0,pink
571,571,2235,37,0,pink
572,572,672,15,0,pink
573,573,10546,97,0,pink
574,574,0,0,0,pink
575,575,57,0,0,pink
576,576,386,9,0,pink
577,577,28,1,0,pink
578,578,0,0,0,pink
579,579,12520,147,0,pink
580,580,28,1,0,pink
581,581,942,4,0,pink
582,582,39,1,0,pink
583,583,139,3,0,pink
584,584,841,10,0,pink
585,585,642,6,0,pink
586,586,67,1,0,pink
587,587,309,0,0,pink
588,588,2558,16,0,pink
589,589,56,1,0,pink
590,590,27,0,0,pink
591,591,24,0,0,pink
592,592,8000,100,0,pink
593,593,101,0,0,pink
594,594,656,5,0,pink
595,595,32,0,0,pink
596,596,39,0,0,pink
597,597,60,1,0,pink
598,598,334,3,0,pink
599,599,101,0,0,pink
600,600,175,3,0,pink
601,601,294,2,0,pink
602,602,273,1,0,pink
603,603,186,0,0,pink
604,604,518,1,0,pink
605,605,738,7,0,pink
606,606,2542,35,0,pink
607,607,345,0,0,pink
608,608,83,0,0,pink
609,609,14,0,0,pink
610,610,88,0,0,pink
611,611,571,1,0,pink
612,612,648,8,0,pink
613,613,420,24,0,pink
614,614,23,0,0,pink
615,615,0,0,0,pink
616,616,324,5,0,pink
617,617,853,7,0,pink
618,618,218,1,0,pink
619,619,215,18,0,pink
620,620,151,0,0,pink
621,621,2109,35,0,pink
622,622,3,0,0,pink
623,623,88,1,0,pink
624,624,349,6,0,pink
625,625,1032,10,0,pink
626,626,73,1,0,pink
627,627,296,4,0,pink
628,628,1074,23,0,pink
629,629,43,0,0,pink
630,630,597,11,0,pink
631,631,47,0,0,pink
632,632,217,4,0,pink
633,633,389,11,0,pink
634,634,4472,20,0,pink
635,635,460,11,0,pink
636,636,154,2,0,pink
637,637,142,0,0,pink
638,638,1088,20,0,pink
639,639,1396,30,0,pink
640,640,140623,5180,1,purple
641,641,400,2,0,pink
642,642,201,4,0,pink
643,643,104,1,0,pink
644,644,1484,38,0,pink
645,645,285,7,0,pink
646,646,16955,551,2,dark purple
647,647,111,7,0,pink
648,648,64,0,0,pink
649,649,836,1,0,pink
650,650,373,3,0,pink
651,651,99,5,0,pink
652,652,505,3,0,pink
653,653,153,0,0,pink
654,654,69,2,0,pink
655,655,216,7,0,pink
656,656,645,5,0,pink
657,657,67,0,0,pink
658,658,199,3,0,pink
659,659,37,0,0,pink
660,660,64,0,0,pink
661,661,636,5,0,pink
662,662,359,19,0,pink
663,663,1248,24,0,pink
664,664,202,9,0,pink
665,665,572,38,0,pink
666,666,385,14,0,pink
667,667,246,2,0,pink
668,668,148,0,0,pink
669,669,12790,325,0,pink
670,670,2676,77,0,pink
671,671,1947,25,0,pink
672,672,627,3,0,pink
673,673,1640,56,0,pink
674,674,16545,486,2,dark purple
675,675,251,2,0,pink
676,676,347,1,0,pink
677,677,348,6,0,pink
678,678,440,1,0,pink
679,679,1436,42,0,pink
680,680,515,7,0,pink
681,681,5463,131,0,pink
682,682,518,0,0,pink
683,683,98,0,0,pink
684,684,129,1,0,pink
685,685,97,2,0,pink
686,686,459,15,0,pink
687,687,4463,118,0,pink
688,688,3200,20,0,pink
689,689,120,0,0,pink
690,690,129,5,0,pink
691,691,639,15,0,pink
692,692,339,13,0,pink
693,693,628,23,0,pink
694,694,208,3,0,pink
695,695,651,6,0,pink
696,696,2,0,0,pink
697,697,3314,49,0,pink
698,698,342,15,0,pink
699,699,132,0,0,pink
700,700,113,1,0,pink
701,701,26,1,0,pink
702,702,161,1,0,pink
703,703,55,0,0,pink
704,704,926,11,0,pink
705,705,171,4,0,pink
706,706,2869,74,0,pink
707,707,299,3,0,pink
708,708,2290,44,0,pink
709,709,46,0,0,pink
710,710,75,0,0,pink
711,711,360,4,0,pink
712,712,6386,187,0,pink
713,713,53,2,0,pink
714,714,484,6,0,pink
715,715,1657,21,0,pink
716,716,2238,236,0,pink
717,717,507,24,0,pink
718,718,648,4,0,pink
719,719,147,1,0,pink
720,720,314,2,0,pink
721,721,198,1,0,pink
722,722,256,5,0,pink
723,723,161,0,0,pink
724,724,702,20,0,pink
725,725,13612,374,0,pink
726,726,1351,39,0,pink
727,727,5531,149,0,pink
728,728,408,6,0,pink
729,729,252,3,0,pink
730,730,6060,200,0,pink
731,731,1153,57,0,pink
732,732,88,0,0,pink
733,733,113,3,0,pink
734,734,956,46,0,pink
735,735,103,3,0,pink
736,736,271,13,0,pink
737,737,1933,9,0,pink
738,738,2157,56,0,pink
739,739,298,5,0,pink
740,740,595,13,0,pink
741,741,103,0,0,pink
742,742,654,28,0,pink
743,743,463,11,0,pink
744,744,639,28,0,pink
745,745,457,39,0,pink
746,746,1895,61,0,pink
747,747,959,18,0,pink
748,748,6438,109,0,pink
749,749,418,13,0,pink
750,750,1321,61,0,pink
751,751,120,2,0,pink
752,752,303,25,0,pink
753,753,235,2,0,pink
754,754,489,4,0,pink
755,755,897,33,0,pink
756,756,419,35,0,pink
757,757,4761,109,0,pink
758,758,914,43,0,pink
759,759,564,24,0,pink
760,760,2681,122,0,pink
761,761,781,25,0,pink
762,762,1290,63,0,pink
763,763,222,3,0,pink
764,764,742,9,0,pink
765,765,386,2,0,pink
766,766,175,0,0,pink
767,767,244,3,0,pink
768,768,312,12,0,pink
769,769,2279,123,0,pink
770,770,503,9,0,pink
771,771,1206,17,0,pink
772,772,632,11,0,pink
773,773,1382,39,0,pink
774,774,10334,319,0,pink
775,775,506,28,0,pink
776,776,1610,75,0,pink
777,777,20936,761,2,dark purple
778,778,994,24,0,pink
779,779,164,0,0,pink
780,780,430,3,0,pink
781,781,2512,36,0,pink
782,782,505,21,0,pink
783,783,706,38,0,pink
784,784,172,11,0,pink
785,785,894,32,0,pink
786,786,77,7,0,pink
787,787,286,24,0,pink
788,788,0,0,0,pink
789,789,167,1,0,pink
790,790,96,1,0,pink
791,791,215,13,0,pink
792,792,141,1,0,pink
793,793,2090,46,0,pink
794,794,309,0,0,pink
795,795,115,1,0,pink
796,796,538,10,0,pink
797,797,209,7,0,pink
798,798,282,8,0,pink
799,799,153,4,0,pink
800,800,359,10,0,pink
801,801,666,29,0,pink
802,802,222,3,0,pink
803,803,6226,103,0,pink
804,804,253,7,0,pink
805,805,374,7,0,pink
806,806,331,12,0,pink
807,807,69,0,0,pink
808,808,2312,13,0,pink
809,809,220,22,0,pink
810,810,0,225,0,pink
811,811,77,0,0,pink
812,812,3494,30,0,pink
813,813,126,0,0,pink
814,814,1785,24,0,pink
815,815,262,8,0,pink
816,816,39,1,0,pink
817,817,1223,36,0,pink
818,818,261,1,0,pink
819,819,747,14,0,pink
820,820,250,3,0,pink
821,821,482,14,0,pink
822,822,255,6,0,pink
823,823,68,1,0,pink
824,824,33,0,0,pink
825,825,252,6,0,pink
826,826,129,3,0,pink
827,827,74,1,0,pink
828,828,302,1,0,pink
829,829,4421,88,0,pink
830,830,493,8,0,pink
831,831,475,7,0,pink
832,832,262,1,0,pink
833,833,1959,12,0,pink
834,834,265,2,0,pink
835,835,179,2,0,pink
836,836,650,5,0,pink
837,837,148,2,0,pink
838,838,233,1,0,pink
839,839,1017,21,0,pink
840,840,222,2,0,pink
841,841,240,0,0,pink
842,842,262,3,0,pink
843,843,309,4,0,pink
844,844,237,3,0,pink
845,845,1092,20,0,pink
846,846,1042,5,0,pink
847,847,2741,38,0,pink
848,848,122,4,0,pink
849,849,66,0,0,pink
850,850,365,3,0,pink
851,851,751,7,0,pink
852,852,503,6,0,pink
853,853,2985,41,0,pink
854,854,254,10,0,pink
855,855,205,2,0,pink
856,856,310,3,0,pink
857,857,346,18,0,pink
858,858,104,0,0,pink
859,859,99,0,0,pink
860,860,218,3,0,pink
861,861,240,6,0,pink
862,862,323,3,0,pink
863,863,177,2,0,pink
864,864,293,1,0,pink
865,865,196,2,0,pink
866,866,655,4,0,pink
867,867,185,6,0,pink
868,868,183,3,0,pink
869,869,110,0,0,pink
870,870,197,1,0,pink
871,871,317,3,0,pink
872,872,802,32,0,pink
873,873,135,1,0,pink
874,874,5073,27,0,pink
875,875,258,3,0,pink
876,876,101,1,0,pink
877,877,249,0,0,pink
878,878,613,7,0,pink
879,879,3878,109,0,pink
880,880,426,15,0,pink
881,881,153,6,0,pink
882,882,280,4,0,pink
883,883,209,2,0,pink
884,884,368,19,0,pink
885,885,746,5,0,pink
886,886,1768,34,0,pink
887,887,173,1,0,pink
888,888,186,0,0,pink
889,889,144,1,0,pink
890,890,153,10,0,pink
891,891,90,5,0,pink
892,892,1090,54,0,pink
893,893,334,9,0,pink
894,894,146,0,0,pink
895,895,0,0,0,pink
896,896,150,0,0,pink
897,897,172,0,0,pink
898,898,1091,20,0,pink
899,899,156,2,0,pink
900,900,15571,261,2,dark purple
901,901,2033,38,0,pink
902,902,270,8,0,pink
903,903,48,2,0,pink
904,904,232,0,0,pink
905,905,2875,28,0,pink
906,906,250,1,0,pink
907,907,1469,3,0,pink
908,908,3369,17,0,pink
909,909,699,31,0,pink
910,910,127,1,0,pink
911,911,4,0,0,pink
912,912,126,3,0,pink
913,913,112,1,0,pink
914,914,1296,57,0,pink
915,915,945,6,0,pink
916,916,449,11,0,pink
917,917,84,2,0,pink
918,918,1213,14,0,pink
919,919,284,13,0,pink
920,920,315,6,0,pink
921,921,5173,63,0,pink
922,922,104,0,0,pink
923,923,570,1,0,pink
924,924,33,0,0,pink
925,925,69,0,0,pink
926,926,307,2,0,pink
927,927,6,0,0,pink
928,928,447,5,0,pink
929,929,148,2,0,pink
930,930,113,3,0,pink
931,931,518,3,0,pink
932,932,81,1,0,pink
933,933,13,0,0,pink
934,934,474,7,0,pink
935,935,58,0,0,pink
936,936,48,1,0,pink
937,937,47,2,0,pink
938,938,64,0,0,pink
939,939,108,8,0,pink
940,940,11,0,0,pink
941,941,346,4,0,pink
942,942,978,6,0,pink
943,943,21,0,0,pink
944,944,161,1,0,pink
945,945,105,0,0,pink
946,946,2138,10,0,pink
947,947,47,0,0,pink
948,948,1,0,0,pink
949,949,926,3,0,pink
950,950,32,0,0,pink
951,951,2072,12,0,pink
952,952,2718,10,0,pink
953,953,328,3,0,pink
954,954,290,2,0,pink
955,955,33,0,0,pink
956,956,37,1,0,pink
957,957,254,5,0,pink
958,958,122,0,0,pink
959,959,7,0,0,pink
960,960,47,0,0,pink
961,961,43,0,0,pink
962,962,120,2,0,pink
963,963,346,4,0,pink
964,964,103,1,0,pink
965,965,22,0,0,pink
966,966,237,2,0,pink
967,967,185,4,0,pink
968,968,16,1,0,pink
969,969,10411,145,0,pink
970,970,82,1,0,pink
971,971,78,1,0,pink
972,972,24,0,0,pink
973,973,233,4,0,pink
974,974,13,0,0,pink
975,975,1965,11,0,pink
976,976,12,0,0,pink
977,977,70,0,0,pink
978,978,7,0,0,pink
979,979,1097,33,0,pink
980,980,72,1,0,pink
981,981,20,0,0,pink
982,982,277,1,0,pink
983,983,108,1,0,pink
984,984,357,1,0,pink
985,985,45,0,0,pink
986,986,386,6,0,pink
987,987,29,0,0,pink
988,988,15,2,0,pink
989,989,92,1,0,pink
990,990,166,0,0,pink
991,991,70,6,0,pink
992,992,30,0,0,pink
993,993,96,0,0,pink
994,994,5,0,0,pink
995,995,52,0,0,pink
996,996,0,0,0,pink
997,997,414,1,0,pink
998,998,111,8,0,pink
999,999,230,0,0,pink
1000,1000,69,0,0,pink
1001,1001,8,0,0,pink
1002,1002,1018,3,0,pink
1003,1003,48,1,0,pink
1004,1004,73,1,0,pink
1005,1005,1734,8,0,pink
1006,1006,61,0,0,pink
1007,1007,42,0,0,pink
1008,1008,83,0,0,pink
1009,1009,697,11,0,pink
1010,1010,107,1,0,pink
1011,1011,8173,85,0,pink
1012,1012,1661,5,0,pink
1013,1013,2644,30,0,pink
1014,1014,13,0,0,pink
1015,1015,30,0,0,pink
1016,1016,6,0,0,pink
1017,1017,56,1,0,pink
1018,1018,48,2,0,pink
1019,1019,128,1,0,pink
1020,1020,183,3,0,pink
1021,1021,126,0,0,pink
1022,1022,53,3,0,pink
1023,1023,0,0,0,pink
1024,1024,67,1,0,pink
1025,1025,17,0,0,pink
1026,1026,17,0,0,pink
1027,1027,6,0,0,pink
1028,1028,59,2,0,pink
1029,1029,15,0,0,pink
1030,1030,6757,134,0,pink
1031,1031,307,19,0,pink
1032,1032,315,9,0,pink
1033,1033,150,1,0,pink
1034,1034,54,1,0,pink
