City,Total Cases,New Cases,Total Deaths,New Deaths,Active Cases,Total Cases /1M pop,Deaths /1M pop,Total Tests,Tests /1M pop,Date
Georgia ,22147,264.0,892.0,11 ,21224,2151.0,87,107176.0,"10,408",04-24-2020
Maryland ,16616,879.0,798.0,50 ,14710,2768.0,133,84716.0,"14,111",04-24-2020
Ohio ,14694,,656.0, ,13918,1262.0,56,102325.0,"8,789",04-24-2020
Indiana ,13680,641.0,741.0,35 ,12925,2061.0,112,75553.0,"11,383",04-24-2020
Washington ,12753,,711.0, ,10260,1748.0,97,153376.0,"21,027",04-24-2020
Virginia ,11594,596.0,410.0,38 ,9512,1378.0,49,69015.0,"8,203",04-24-2020
Colorado ,11262,,552.0, ,10151,2036.0,100,52324.0,"9,460",04-24-2020
Tennessee ,8266,,170.0, ,3903,1243.0,26,123100.0,"18,508",04-24-2020
North Carolina ,8136,282.0,284.0,3 ,6550,801.0,28,100584.0,"9,904",04-24-2020
Rhode Island ,6699,443.0,202.0,13 ,6155,6340.0,191,47257.0,"44,725",04-24-2020
Missouri ,6424,40.0,252.0,9 ,5625,1055.0,41,64903.0,"10,657",04-24-2020
Veteran Affairs ,6363,125.0,400.0,9 ,5963,,,78124.0,,04-24-2020
US Military ,6213,312.0,26.0,1 ,4240,,,,,04-24-2020
Alabama ,5832,,201.0, ,5611,1199.0,41,52641.0,"10,821",04-24-2020
Arizona ,5769,,249.0, ,5450,830.0,36,58697.0,"8,450",04-24-2020
Mississippi ,5434,281.0,209.0,8 ,5225,1818.0,70,55389.0,"18,532",04-24-2020
Wisconsin ,5052,,257.0, ,4601,874.0,44,56508.0,"9,779",04-24-2020
South Carolina ,4917,,150.0, ,2029,992.0,30,44463.0,"8,972",04-24-2020
Iowa ,4445,521.0,107.0,11 ,2734,1419.0,34,31973.0,"10,207",04-24-2020
Nevada ,4208,,189.0, ,2178,1440.0,65,42709.0,"14,612",04-24-2020
Utah ,3612,,35.0, ,2689,1186.0,11,80627.0,"26,475",04-24-2020
District Of Columbia ,3528,167.0,153.0,14 ,2724,5154.0,224,16533.0,"24,153",04-24-2020
Kentucky ,3481,,191.0, ,2168,784.0,43,42844.0,"9,649",04-24-2020
Delaware ,3442,134.0,100.0,8 ,2639,3625.0,105,17379.0,"18,303",04-24-2020
Minnesota ,3185,243.0,221.0,21 ,1370,576.0,40,53787.0,"9,731",04-24-2020
Oklahoma ,3017,,179.0, ,954,770.0,46,47984.0,"12,247",04-24-2020
Kansas ,2734,252.0,113.0,1 ,2118,940.0,39,20435.0,"7,025",04-24-2020
Arkansas ,2606,7.0,45.0, ,1632,871.0,15,35443.0,"11,851",04-24-2020
New Mexico ,2379,,78.0, ,1728,1137.0,37,46563.0,"22,253",04-24-2020
Oregon ,2127,,83.0, ,2044,521.0,20,43976.0,"10,773",04-24-2020
Nebraska ,2124,,47.0, ,2055,1115.0,25,18701.0,"9,818",04-24-2020
South Dakota ,1956,,9.0, ,883,2263.0,10,14065.0,"16,273",04-24-2020
Idaho ,1836,,54.0, ,960,1088.0,32,19091.0,"11,311",04-24-2020
New Hampshire ,1670,,51.0, ,1069,1243.0,38,16809.0,"12,510",04-24-2020
Puerto Rico ,1416,,69.0, ,956,418.0,20,11633.0,"3,435",04-24-2020
Navajo Nation ,1360,39.0,52.0,3 ,1308,,,,,04-24-2020
West Virginia ,981,,31.0, ,725,536.0,17,29116.0,"15,919",04-24-2020
Federal Prisons ,977,,24.0, ,598,,,,,04-24-2020
Maine ,965,28.0,47.0,3 ,419,724.0,35,17721.0,"13,296",04-24-2020
Vermont ,827,2.0,44.0,1 ,783,1323.0,70,14310.0,"22,897",04-24-2020
North Dakota ,748,39.0,15.0, ,448,994.0,20,17449.0,"23,197",04-24-2020
Hawaii ,596,,12.0, ,129,419.0,8,26362.0,"18,538",04-24-2020
Wyoming ,453,,7.0, ,171,779.0,12,7623.0,"13,102",04-24-2020
Montana ,444,2.0,14.0, ,105,426.0,13,12127.0,"11,641",04-24-2020
Alaska ,337,,9.0, ,119,456.0,12,11473.0,"15,535",04-24-2020
Guam ,139,,5.0, ,15,,,605.0,,04-24-2020
Grand Princess Ship ,103,,3.0, ,100,,,,,04-24-2020
United States Virgin Islands ,54,,3.0, ,1,,,731.0,,04-24-2020
Northern Mariana Islands ,14,,2.0, ,1,,,45.0,,04-24-2020
New York ,287245,9800.0,21728.0,437 ,234299,14642.0,"1,108",777568.0,"39,635",04-25-2020
New Jersey ,105523,3327.0,5863.0,246 ,98389,11881.0,660,213125.0,"23,996",04-25-2020
Massachusetts ,50969,,2556.0, ,40295,7462.0,374,215213.0,"31,509",04-25-2020
California ,41382,570.0,1618.0,24 ,36427,1057.0,41,494173.0,"12,623",04-25-2020
Pennsylvania  ,40149,,1736.0, ,37763,3139.0,136,186143.0,"14,552",04-25-2020
Illinois ,39658,,1795.0, ,37257,3093.0,140,189632.0,"14,790",04-25-2020
Michigan ,36641,,3085.0, ,30284,3680.0,310,140130.0,"14,073",04-25-2020
Florida ,30839,306.0,1055.0,9 ,29098,1497.0,51,334974.0,"16,262",04-25-2020
Louisiana ,26140,,1660.0, ,9553,5605.0,356,142056.0,"30,460",04-25-2020
Connecticut ,23921,,1764.0, ,22092,6679.0,493,74038.0,"20,672",04-25-2020
Texas ,23773,603.0,623.0,22 ,15125,853.0,22,262816.0,"9,425",04-25-2020
Georgia ,22695,204.0,904.0,5 ,21760,2204.0,88,119014.0,"11,558",04-25-2020
Maryland ,17766,1150.0,875.0,77 ,15726,2959.0,146,89123.0,"14,845",04-25-2020
Ohio ,15169,,690.0, ,14359,1303.0,59,107109.0,"9,200",04-25-2020
Indiana ,14395,715.0,785.0,44 ,13596,2169.0,118,79774.0,"12,019",04-25-2020
Washington ,13176,,723.0, ,10646,1806.0,99,160324.0,"21,979",04-25-2020
Virginia ,12366,772.0,436.0,26 ,10258,1470.0,52,72178.0,"8,579",04-25-2020
Colorado ,12256,,674.0, ,11023,2216.0,122,56789.0,"10,267",04-25-2020
Tennessee ,8726,,168.0, ,4188,1312.0,25,131298.0,"19,741",04-25-2020
North Carolina ,8719,469.0,304.0,11 ,7113,859.0,30,105265.0,"10,365",04-25-2020
Rhode Island ,7129,430.0,215.0,13 ,6572,6747.0,203,50891.0,"48,164",04-25-2020
Missouri ,6766,72.0,272.0,5 ,5947,1111.0,45,67017.0,"11,004",04-25-2020
Veteran Affairs ,6528,,400.0, ,6128,,,83372.0,,04-25-2020
US Military ,6213,,26.0, ,4240,,,,,04-25-2020
Arizona ,6045,,266.0, ,5709,870.0,38,60714.0,"8,740",04-25-2020
Alabama ,6032,6.0,212.0,3 ,5800,1240.0,44,52641.0,"10,821",04-25-2020
Mississippi ,5718,284.0,221.0,12 ,5497,1913.0,74,58957.0,"19,726",04-25-2020
Wisconsin ,5356,,262.0, ,2781,927.0,45,59929.0,"10,371",04-25-2020
South Carolina ,5070,,157.0, ,1212,1023.0,32,46996.0,"9,483",04-25-2020
Nevada ,4539,141.0,204.0,7 ,2494,1553.0,70,45885.0,"15,699",04-25-2020
Iowa ,4445,,107.0, ,2734,1419.0,34,31973.0,"10,207",04-25-2020
Utah ,3782,,39.0, ,2855,1242.0,13,84697.0,"27,812",04-25-2020
Kentucky ,3779,,200.0, ,2457,851.0,45,44962.0,"10,126",04-25-2020
District Of Columbia ,3699,171.0,165.0,12 ,2882,5404.0,241,17302.0,"25,277",04-25-2020
Delaware ,3576,134.0,112.0,12 ,2655,3766.0,118,17698.0,"18,639",04-25-2020
Minnesota ,3446,261.0,244.0,23 ,1548,623.0,44,56597.0,"10,239",04-25-2020
Oklahoma ,3121,,188.0, ,972,797.0,48,53012.0,"13,530",04-25-2020
Kansas ,2966,11.0,119.0,1 ,2344,1020.0,41,23588.0,"8,109",04-25-2020
Arkansas ,2829,19.0,47.0, ,1818,946.0,16,38053.0,"12,724",04-25-2020
New Mexico ,2521,,84.0, ,1823,1205.0,40,51510.0,"24,617",04-25-2020
Nebraska ,2421,,50.0, ,2349,1271.0,26,20112.0,"10,559",04-25-2020
Oregon ,2177,,86.0, ,2091,533.0,21,45492.0,"11,145",04-25-2020
South Dakota ,2040,,10.0, ,840,2360.0,12,14824.0,"17,152",04-25-2020
Idaho ,1870,,54.0, ,949,1108.0,32,19361.0,"11,471",04-25-2020
New Hampshire ,1720,,53.0, ,1117,1280.0,39,17727.0,"13,193",04-25-2020
Navajo Nation ,1360,,52.0, ,1308,,,,,04-25-2020
Puerto Rico ,1307,31.0,83.0,6 ,833,386.0,25,11633.0,"3,435",04-25-2020
West Virginia ,1010,,32.0, ,753,552.0,17,32419.0,"17,724",04-25-2020
Maine ,990,25.0,50.0,3 ,421,743.0,38,17721.0,"13,296",04-25-2020
Federal Prisons ,977,,24.0, ,598,,,,,04-25-2020
Vermont ,843,16.0,46.0,2 ,797,1349.0,74,14682.0,"23,492",04-25-2020
North Dakota ,803,55.0,16.0,1 ,477,1068.0,21,19350.0,"25,725",04-25-2020
Hawaii ,601,,13.0, ,125,423.0,9,28272.0,"19,881",04-25-2020
Wyoming ,473,,7.0, ,145,813.0,12,7623.0,"13,102",04-25-2020
Montana ,445,1.0,14.0, ,92,427.0,13,12497.0,"11,996",04-25-2020
Alaska ,339,,9.0, ,121,459.0,12,11942.0,"16,170",04-25-2020
Guam ,141,,5.0, ,10,,,605.0,,04-25-2020
Grand Princess Ship ,103,,3.0, ,100,,,,,04-25-2020
United States Virgin Islands ,54,,3.0, ,1,,,731.0,,04-25-2020
Northern Mariana Islands ,14,,2.0, ,1,,,45.0,,04-25-2020
New York ,293354,5041.0,22275.0,367 ,239861,14953.0,"1,135",805350.0,"41,051",04-26-2020
New Jersey ,109038,3515.0,5938.0,75 ,101829,12277.0,669,223062.0,"25,114",04-26-2020
Massachusetts ,53348,,2730.0, ,42500,7811.0,400,226845.0,"33,212",04-26-2020
California ,42688,337.0,1695.0,9 ,37656,1090.0,43,494173.0,"12,623",04-26-2020
Illinois ,41777,,1874.0, ,39297,3258.0,146,201617.0,"15,725",04-26-2020
Pennsylvania ,41697,,1804.0, ,39243,3260.0,141,192235.0,"15,029",04-26-2020
Michigan ,37203,,3274.0, ,25587,3736.0,329,144044.0,"14,466",04-26-2020
Florida ,31528,689.0,1074.0,19 ,29768,1531.0,52,346365.0,"16,815",04-26-2020
Louisiana ,26773,261.0,1729.0,26 ,10117,5741.0,371,142056.0,"30,460",04-26-2020
Texas ,24631,436.0,648.0,7 ,13997,883.0,23,276021.0,"9,898",04-26-2020
Connecticut ,24582,,1862.0, ,22655,6864.0,520,77602.0,"21,667",04-26-2020
Georgia ,23401,185.0,912.0,5 ,22458,2272.0,89,122604.0,"11,906",04-26-2020
Maryland ,18581,815.0,910.0,35 ,16494,3095.0,152,96665.0,"16,102",04-26-2020
Ohio ,15587,,711.0, ,14756,1339.0,61,111379.0,"9,567",04-26-2020
Indiana ,15012,617.0,813.0,28 ,14185,2262.0,122,81708.0,"12,310",04-26-2020
Washington ,13319,,738.0, ,10774,1826.0,101,170594.0,"23,387",04-26-2020
Virginia ,12970,604.0,448.0,12 ,10707,1542.0,53,76118.0,"9,047",04-26-2020
Colorado ,12968,,672.0, ,11737,2345.0,121,59791.0,"10,810",04-26-2020
Tennessee ,9189,,178.0, ,4544,1382.0,27,141406.0,"21,261",04-26-2020
North Carolina ,8946,193.0,314.0,9 ,7330,881.0,31,107894.0,"10,624",04-26-2020
Rhode Island ,7439,310.0,226.0,11 ,6871,7040.0,214,53403.0,"50,542",04-26-2020
Missouri ,6881,,283.0, ,6051,1130.0,46,67017.0,"11,004",04-26-2020
Veteran Affairs ,6860,168.0,424.0,11 ,6436,,,83372.0,,04-26-2020
Arizona ,6526,246.0,275.0,2 ,6181,939.0,40,64811.0,"9,330",04-26-2020
Alabama ,6253,40.0,213.0, ,6020,1285.0,44,71344.0,"14,666",04-26-2020
US Military ,6213,,26.0, ,4240,,,,,04-26-2020
Mississippi ,5911,193.0,227.0,6 ,5684,1978.0,76,60788.0,"20,339",04-26-2020
Wisconsin ,5687,,266.0, ,3108,984.0,46,62825.0,"10,872",04-26-2020
Iowa ,5476,384.0,118.0,6 ,3754,1748.0,38,31973.0,"10,207",04-26-2020
South Carolina ,5253,,166.0, ,1386,1060.0,33,49014.0,"9,890",04-26-2020
Nevada ,4539,,206.0,2 ,2492,1553.0,70,45885.0,"15,699",04-26-2020
Delaware ,4034,458.0,120.0,8 ,3003,4249.0,126,19249.0,"20,273",04-26-2020
Utah ,3948,,41.0, ,3019,1296.0,13,90206.0,"29,621",04-26-2020
Kentucky ,3905,,205.0, ,2578,879.0,46,46558.0,"10,486",04-26-2020
District Of Columbia ,3841,142.0,178.0,13 ,3006,5611.0,260,18068.0,"26,396",04-26-2020
Minnesota ,3602,156.0,272.0,28 ,1556,652.0,49,58987.0,"10,672",04-26-2020
Oklahoma ,3253,60.0,195.0,1 ,919,830.0,50,53012.0,"13,530",04-26-2020
Kansas ,3135,,120.0, ,2512,1078.0,41,25199.0,"8,663",04-26-2020
Arkansas ,2938,29.0,48.0, ,1905,982.0,16,39327.0,"13,150",04-26-2020
Nebraska ,2732,,53.0, ,2657,1434.0,28,21377.0,"11,223",04-26-2020
New Mexico ,2660,,93.0, ,1953,1271.0,44,51510.0,"24,617",04-26-2020
Oregon ,2253,,87.0, ,2166,552.0,21,47377.0,"11,606",04-26-2020
South Dakota ,2212,65.0,11.0,1 ,1011,2559.0,13,15596.0,"18,045",04-26-2020
Idaho ,1887,,56.0, ,964,1118.0,33,19361.0,"11,471",04-26-2020
New Hampshire ,1787,,60.0, ,1177,1330.0,45,17727.0,"13,193",04-26-2020
Navajo Nation ,1540,,58.0, ,1482,,,,,04-26-2020
Puerto Rico ,1371,64.0,84.0,1 ,896,405.0,25,11633.0,"3,435",04-26-2020
Federal Prisons ,1047,,26.0, ,514,,,,,04-26-2020
West Virginia ,1044,19.0,34.0,1 ,785,571.0,19,39063.0,"21,357",04-26-2020
Maine ,1015,25.0,50.0, ,433,762.0,38,17721.0,"13,296",04-26-2020
North Dakota ,867,64.0,17.0,1 ,524,1153.0,23,20447.0,"27,183",04-26-2020
Vermont ,851,8.0,46.0, ,805,1362.0,74,14797.0,"23,676",04-26-2020
Hawaii ,604,,14.0, ,108,425.0,10,28272.0,"19,881",04-26-2020
Wyoming ,491,18.0,7.0, ,163,844.0,12,7623.0,"13,102",04-26-2020
Montana ,448,3.0,14.0, ,95,430.0,13,12862.0,"12,347",04-26-2020
Alaska ,339,,9.0, ,113,459.0,12,15732.0,"21,302",04-26-2020
Guam ,141,,5.0, ,10,,,605.0,,04-26-2020
Grand Princess Ship ,103,,3.0, ,100,,,,,04-26-2020
United States Virgin Islands ,57,2.0,4.0,1 ,2,,,776.0,,04-26-2020
Northern Mariana Islands ,14,,2.0, ,1,,,45.0,,04-26-2020
New York ,293991,,22275.0, ,240498,14985.0,"1,135",805350.0,"41,051",04-27-2020
New Jersey ,109038,,5938.0, ,101829,12277.0,669,223062.0,"25,114",04-27-2020
Massachusetts ,54938,,2899.0, ,43921,8043.0,424,236100.0,"34,567",04-27-2020
Illinois ,43903,,1933.0, ,41364,3424.0,151,214952.0,"16,765",04-27-2020
California ,43703,162.0,1720.0,2 ,38646,1116.0,44,526084.0,"13,438",04-27-2020
Pennsylvania ,42708,,1823.0, ,40193,3339.0,143,198593.0,"15,526",04-27-2020
Michigan ,37778,,3315.0, ,26121,3794.0,333,156010.0,"15,668",04-27-2020
Florida ,32138,610.0,1088.0,14 ,30364,1560.0,53,358127.0,"17,386",04-27-2020
Louisiana ,26773,,1729.0, ,10117,5741.0,371,142056.0,"30,460",04-27-2020
Connecticut ,25269,,1924.0, ,23280,7055.0,537,79811.0,"22,284",04-27-2020
Texas ,24981,,654.0, ,14341,896.0,23,276021.0,"9,898",04-27-2020
Georgia ,23481,,916.0, ,22534,2280.0,89,122604.0,"11,906",04-27-2020
Maryland ,19487,906.0,945.0,35 ,17279,3246.0,157,104976.0,"17,486",04-27-2020
Ohio ,15963,,728.0, ,15115,1371.0,63,115783.0,"9,945",04-27-2020
Indiana ,15012,,813.0, ,14185,2262.0,122,81708.0,"12,310",04-27-2020
Virginia ,13535,565.0,458.0,10 ,11262,1609.0,54,80180.0,"9,530",04-27-2020
Washington ,13521,,749.0, ,10965,1854.0,103,175477.0,"24,057",04-27-2020
Colorado ,13441,,680.0, ,12202,2430.0,123,63274.0,"11,440",04-27-2020
Tennessee ,9667,,181.0, ,4959,1453.0,27,147474.0,"22,173",04-27-2020
North Carolina ,9142,148.0,325.0, ,7515,900.0,32,109920.0,"10,824",04-27-2020
Rhode Island ,7439,,226.0, ,6871,7040.0,214,53403.0,"50,542",04-27-2020
Missouri ,7029,,283.0, ,6199,1154.0,46,67017.0,"11,004",04-27-2020
Veteran Affairs  ,6922,62.0,435.0,11 ,6487,,,83372.0,,04-27-2020
Arizona ,6526,,275.0, ,6181,939.0,40,64811.0,"9,330",04-27-2020
Alabama ,6429,11.0,219.0, ,6190,1322.0,45,73732.0,"15,157",04-27-2020
US Military ,6213,,26.0, ,4240,,,,,04-27-2020
Mississippi ,6094,183.0,229.0,2 ,5865,2039.0,77,60788.0,"20,339",04-27-2020
Wisconsin ,5911,,272.0, ,3326,1023.0,47,65146.0,"11,274",04-27-2020
South Carolina ,5490,,174.0, ,1615,1108.0,35,50761.0,"10,242",04-27-2020
Iowa ,5476,,118.0, ,3754,1748.0,38,36090.0,"11,521",04-27-2020
Nevada ,4602,,206.0, ,2555,1574.0,70,45885.0,"15,699",04-27-2020
Utah ,4123,,41.0, ,3194,1354.0,13,95702.0,"31,426",04-27-2020
Kentucky ,4074,,208.0, ,2744,918.0,47,48474.0,"10,917",04-27-2020
Delaware ,4034,,120.0, ,3003,4249.0,126,19249.0,"20,273",04-27-2020
District Of Columbia ,3892,51.0,185.0,7 ,3048,5686.0,270,18416.0,"26,904",04-27-2020
Minnesota ,3602,,272.0, ,1556,652.0,49,58987.0,"10,672",04-27-2020
Kansas ,3296,122.0,122.0,2 ,2671,1133.0,42,25199.0,"8,663",04-27-2020
Oklahoma ,3253,,195.0, ,919,830.0,50,53012.0,"13,530",04-27-2020
Nebraska ,3028,,56.0, ,2950,1590.0,29,22525.0,"11,826",04-27-2020
Arkansas ,3001,,50.0, ,1964,1003.0,17,39551.0,"13,225",04-27-2020
New Mexico ,2726,,99.0, ,1977,1303.0,47,56615.0,"27,057",04-27-2020
Oregon ,2311,,91.0, ,2220,566.0,22,48964.0,"11,995",04-27-2020
South Dakota ,2212,,11.0, ,1011,2559.0,13,15596.0,"18,045",04-27-2020
Idaho ,1897,,56.0, ,974,1124.0,33,19361.0,"11,471",04-27-2020
New Hampshire ,1864,,60.0, ,1254,1387.0,45,17727.0,"13,193",04-27-2020
Navajo Nation ,1540,,58.0, ,1482,,,,,04-27-2020
Puerto Rico ,1389,18.0,84.0, ,914,410.0,25,13022.0,"3,845",04-27-2020
Federal Prisons ,1118,,27.0, ,582,,,,,04-27-2020
West Virginia ,1063,19.0,36.0,2 ,802,581.0,20,39063.0,"21,357",04-27-2020
Maine ,1015,,50.0, ,433,762.0,38,17721.0,"13,296",04-27-2020
North Dakota ,867,,17.0, ,524,1153.0,23,20447.0,"27,183",04-27-2020
Vermont ,855,4.0,47.0,1 ,808,1368.0,75,15073.0,"24,118",04-27-2020
Hawaii ,606,,14.0, ,104,426.0,10,29247.0,"20,567",04-27-2020
Wyoming ,502,,7.0, ,174,863.0,12,7623.0,"13,102",04-27-2020
Montana ,448,,14.0, ,95,430.0,13,12862.0,"12,347",04-27-2020
Alaska ,341,,9.0, ,115,462.0,12,16177.0,"21,905",04-27-2020
Guam ,141,,5.0, ,10,,,605.0,,04-27-2020
Grand Princess Ship ,103,,3.0, ,100,,,,,04-27-2020
United States Virgin Islands ,57,,4.0, ,2,,,776.0,,04-27-2020
Northern Mariana Islands ,14,,2.0, ,1,,,45.0,,04-27-2020
New York ,298004,,22623.0, ,229824,15190.0,"1,153",826095.0,"42,108",04-28-2020
New Jersey ,113856,2668.0,6442.0,398 ,106143,12819.0,725,227390.0,"25,602",04-28-2020
Massachusetts ,56462,,3003.0, ,45341,8267.0,440,244887.0,"35,854",04-28-2020
Illinois ,45883,,1983.0, ,43294,3579.0,155,227628.0,"17,754",04-28-2020
California ,45218,212.0,1793.0,17 ,40088,1155.0,46,526084.0,"13,438",04-28-2020
Pennsylvania ,43264,109.0,1860.0, ,40712,3382.0,145,209088.0,"16,346",04-28-2020
Michigan ,38210,,3407.0, ,26461,3837.0,342,163213.0,"16,391",04-28-2020
Florida ,32846,708.0,1171.0,83 ,30989,1595.0,57,368651.0,"17,897",04-28-2020
Louisiana ,27286,218.0,1801.0,61 ,8182,5851.0,386,151108.0,"32,401",04-28-2020
Texas ,26171,655.0,690.0,18 ,14311,939.0,25,300384.0,"10,772",04-28-2020
Connecticut ,25997,,2012.0, ,23920,7259.0,562,90746.0,"25,337",04-28-2020
Georgia ,24606,381.0,1025.0,31 ,23550,2390.0,100,140020.0,"13,597",04-28-2020
Maryland ,20113,626.0,1016.0,71 ,17834,3350.0,169,107785.0,"17,954",04-28-2020
Indiana ,16588,627.0,932.0, ,15642,2499.0,140,87181.0,"13,135",04-28-2020
Ohio ,16325,,753.0, ,15452,1402.0,65,119391.0,"10,255",04-28-2020
Virginia ,14339,804.0,492.0,34 ,12032,1704.0,58,82753.0,"9,835",04-28-2020
Colorado ,13879,,706.0, ,12614,2509.0,128,66341.0,"11,994",04-28-2020
Washington ,13686,,765.0, ,11114,1876.0,105,179679.0,"24,633",04-28-2020
Tennessee ,9918,,184.0, ,5014,1491.0,28,154402.0,"23,215",04-28-2020
North Carolina ,9568,153.0,342.0,6 ,7924,942.0,34,112752.0,"11,102",04-28-2020
Rhode Island ,7926,218.0,239.0,6 ,7345,7501.0,226,57693.0,"54,602",04-28-2020
Missouri ,7239,,300.0, ,6392,1189.0,49,70932.0,"11,647",04-28-2020
Veteran Affairs ,7001,,435.0, ,6566,,,83372.0,,04-28-2020
Arizona ,6716,,275.0, ,6371,967.0,40,66543.0,"9,579",04-28-2020
Alabama ,6644,105.0,242.0,14 ,6382,1366.0,50,75138.0,"15,446",04-28-2020
US Military ,6568,,27.0, ,4497,,,,,04-28-2020
Iowa ,6376,508.0,136.0,9 ,4076,2035.0,43,39823.0,"12,713",04-28-2020
Mississippi ,6342,248.0,239.0,10 ,6103,2122.0,80,64412.0,"21,551",04-28-2020
Wisconsin ,6081,,281.0, ,3487,1052.0,49,67392.0,"11,663",04-28-2020
South Carolina ,5613,,177.0, ,1735,1133.0,36,52145.0,"10,522",04-28-2020
Nevada ,4805,115.0,219.0, ,1939,1644.0,75,47821.0,"16,361",04-28-2020
Delaware ,4575,413.0,137.0,12 ,3342,4818.0,144,21180.0,"22,307",04-28-2020
Utah ,4233,,41.0, ,3304,1390.0,13,100195.0,"32,901",04-28-2020
Minnesota ,4181,365.0,301.0,15 ,1968,756.0,54,63829.0,"11,548",04-28-2020
Kentucky ,4146,,213.0, ,2811,934.0,48,48799.0,"10,990",04-28-2020
District Of Columbia ,3994,102.0,190.0,5 ,3144,5835.0,278,18885.0,"27,590",04-28-2020
Oklahoma ,3410,130.0,207.0,10  ,943,870.0,53,53012.0,"13,530",04-28-2020
Nebraska ,3358,,56.0, ,3280,1763.0,29,23772.0,"12,480",04-28-2020
Kansas ,3296,,122.0, ,2671,1133.0,42,25199.0,"8,663",04-28-2020
Arkansas ,3069,,51.0, ,1965,1026.0,17,40629.0,"13,585",04-28-2020
New Mexico ,2823,,104.0, ,2069,1349.0,50,58803.0,"28,103",04-28-2020
Oregon ,2354,,92.0, ,2262,577.0,23,51198.0,"12,543",04-28-2020
South Dakota ,2245,,11.0, ,918,2598.0,13,15596.0,"18,045",04-28-2020
New Hampshire ,1938,,60.0, ,1080,1442.0,45,20145.0,"14,993",04-28-2020
Idaho ,1917,,58.0, ,820,1136.0,34,19895.0,"11,787",04-28-2020
Navajo Nation  ,1716,,59.0, ,1657,,,9753.0,,04-28-2020
Puerto Rico ,1400,11.0,86.0,2 ,923,413.0,25,13022.0,"3,845",04-28-2020
Federal Prisons ,1376,,28.0, ,834,,,,,04-28-2020
West Virginia ,1077,14.0,37.0,1 ,559,589.0,20,43227.0,"23,634",04-28-2020
Maine ,1040,17.0,51.0, ,404,780.0,38,17807.0,"13,360",04-28-2020
North Dakota ,991,49.0,19.0, ,563,1317.0,25,23723.0,"31,538",04-28-2020
Vermont ,862,7.0,47.0, ,815,1379.0,75,15215.0,"24,345",04-28-2020
Hawaii ,607,,16.0, ,98,427.0,11,29247.0,"20,567",04-28-2020
Wyoming ,520,,7.0, ,170,894.0,12,8167.0,"14,037",04-28-2020
Montana ,451,2.0,15.0,1 ,80,433.0,14,13191.0,"12,663",04-28-2020
Alaska ,345,,9.0, ,118,467.0,12,16256.0,"22,012",04-28-2020
Guam ,144,2.0,5.0, ,10,,,605.0,,04-28-2020
Grand Princess Ship ,103,,3.0, ,100,,,,,04-28-2020
United States Virgin Islands ,59,,4.0, ,4,,,835.0,,04-28-2020
Northern Mariana Islands ,14,,2.0, ,0,,,45.0,,04-28-2020
New York ,305086,3636.0,23474.0,330 ,234649,15551.0,"1,197",872481.0,"44,472",04-29-2020
New Jersey ,116264,2408.0,6770.0,328 ,108223,13090.0,762,240246.0,"27,049",04-29-2020
Massachusetts ,58302,,3153.0, ,47031,8536.0,462,254500.0,"37,261",04-29-2020
Illinois ,48102,,2125.0, ,45371,3752.0,166,242189.0,"18,889",04-29-2020
California  ,46506,343.0,1873.0,11 ,41296,1188.0,48,577608.0,"14,754",04-29-2020
Pennsylvania ,45016,,2195.0,135 ,42056,3519.0,172,209088.0,"16,346",04-29-2020
Michigan ,39262,,3567.0, ,27353,3943.0,358,169929.0,"17,065",04-29-2020
Florida ,33193,347.0,1218.0,47 ,31289,1611.0,59,375300.0,"18,220",04-29-2020
Louisiana ,27660,374.0,1845.0,44 ,8512,5931.0,396,156568.0,"33,572",04-29-2020
Texas ,27054,883.0,732.0,42 ,14536,970.0,26,314790.0,"11,289",04-29-2020
Connecticut ,26312,,2089.0, ,24158,7347.0,583,92745.0,"25,896",04-29-2020
Georgia ,25274,420.0,1052.0,16 ,24191,2454.0,102,140223.0,"13,617",04-29-2020
Maryland ,20849,736.0,1078.0,62  ,18508,3473.0,180,110929.0,"18,478",04-29-2020
Indiana ,17182,594.0,1065.0,73 ,16103,2589.0,160,91550.0,"13,793",04-29-2020
Ohio ,16769,,799.0, ,15850,1440.0,69,122706.0,"10,540",04-29-2020
Virginia ,14961,622.0,522.0,30 ,12397,1778.0,62,85307.0,"10,139",04-29-2020
Colorado ,14316,,736.0, ,13021,2588.0,133,67094.0,"12,130",04-29-2020
Washington ,13842,,786.0, ,11205,1898.0,108,182515.0,"25,021",04-29-2020
North Carolina ,10092,353.0,379.0,18 ,8411,994.0,37,118440.0,"11,663",04-29-2020
Tennessee ,10052,,188.0, ,4943,1511.0,28,161928.0,"24,346",04-29-2020
Rhode Island ,8247,321.0,251.0,12 ,7654,7805.0,238,60165.0,"56,941",04-29-2020
Veteran Affairs ,7481,,461.0, ,7020,,,95680.0,,04-29-2020
 Missouri ,7376,,327.0, ,6502,1211.0,54,73503.0,"12,069",04-29-2020
Arizona ,7202,254.0,304.0,11 ,6828,1037.0,44,68813.0,"9,906",04-29-2020
Iowa ,6843,467.0,148.0,12 ,4531,2185.0,47,41337.0,"13,196",04-29-2020
Alabama ,6814,64.0,245.0,3 ,6549,1401.0,50,77916.0,"16,017",04-29-2020
US Military ,6648,,27.0, ,4514,,,,,04-29-2020
Mississippi ,6569,227.0,250.0,11 ,6319,2198.0,84,66094.0,"22,114",04-29-2020
